Artikul;Nomenklatura;Ves;Obyem;Koeffitsient;Nomenklaturnaya gruppa;Nomenklatura.Assortimentnaya gruppa;Nomenklatura. Proekty Misteriya;Nomenklatura.Kategoriya;Nomenklatura.Osnovnoy postavschik
431098d;Perchatki  nitrilovye, neopudr., r-r S, tsvet goluboy;3,9;0,015;10;Perchatki nitrilovye razmer XS, S;Perchatki;3. Servirovka stola i tovary dlya klininga;pod zakaz;OPTITREYD OOO
431099m;Perchatki lateksnye neopudren. tonkie  razmer S;5,91;0,017;10;Perchatki lateksnye standartnoy prochnosti razmer XS, S;Perchatki;3. Servirovka stola i tovary dlya klininga;pod zakaz;OPTITREYD OOO
430044v/;Perchatki nitrilovye neopudr., r-r S, krasnye;5,17;0,014;10;Perchatki nitrilovye razmer XS, S;Perchatki;3. Servirovka stola i tovary dlya klininga;COV2019;OPTITREYD OOO
431099ya;Perchatki lateksnye opudren. tonkie  razmer S;6,5;0,014;10;Perchatki lateksnye standartnoy prochnosti razmer XS, S;Perchatki;3. Servirovka stola i tovary dlya klininga;;OPTITREYD OOO
430098yu;Perchatki nitrilovye neopudr. r-r XS, chernye;3,6;0,014;10;Perchatki nitrilovye razmer XS, S;Perchatki;3. Servirovka stola i tovary dlya klininga;;OPTITREYD OOO
430098ya/;Perchatki nitrilovye neopudr. r-r S, chernye;3,9;0,015;10;Perchatki nitrilovye razmer XS, S;Perchatki;3. Servirovka stola i tovary dlya klininga;;OPTITREYD OOO
829153;PET butylka prozrachn.,  0,3 l , D-38 mm, h 140 mm;5,6;0,15;0,3;Butylki PET 0.3-0.45 l shirokoe gorlo;Butylki PET;2. Upakovka;;KOMPANON OOO
829154;PET butylka prozrachn.,  0,33 l , D-38 mm, h 160 mm;5,6;0,16;0,3;Butylki PET 0.3-0.45 l shirokoe gorlo;Butylki PET;2. Upakovka;;KOMPANON OOO
291036a;PET butylka prozrachn., 0.33 l s kryshkoy, shirokoe gorlo;3,26;0,08;0,15;Butylki PET 0.3-0.45 l shirokoe gorlo;Butylki PET;2. Upakovka;;PLASTTORGSERVIS OOO
291081p;ButylkaPET kvadratn., prozrachn., 0.3 l, s kryshkoy, shirokoe gorlo;;;0,3;Butylki PET 0.3-0.45 l shirokoe gorlo;Butylki PET;2. Upakovka;;Abibullaev Seyran Enverovich IP
829160;PET butylka prozrachn., 0.33 l, s kryshkoy, shirokoe gorlo;1,9;0,18;0,1;Butylki PET 0.3-0.45 l shirokoe gorlo;Butylki PET;2. Upakovka;;EKSPRESS PET+ OOO
8298006;PET butylka, prozrachn., 0.3 l s kryshkoy,shirokoe gorlo;2;0,047;0,1;Butylki PET 0.3-0.45 l shirokoe gorlo;Butylki PET;2. Upakovka;;VOZDUKh OOO
8291036;Butylka d/vody, 0,3l, krugl., prozrachn., PET,shirokoe gorlo (kompakt);1,7;0,07;0,1;Butylki PET 0.3-0.45 l shirokoe gorlo;Butylki PET;2. Upakovka;;EVROPLAST-DON OOO
8291037;Butylka d/vody, 0,3l, krugl., prozrachn., PET,shirokoe gorlo (rossyp);2,5;0,07;0,1;Butylki PET 0.3-0.45 l shirokoe gorlo;Butylki PET;2. Upakovka;pod zakaz;EVROPLAST-DON OOO
291036ch;PET butylka prozrachn., 0.33 l s chernoy kryshkoy, shirokoe gorlo;3,26;0,08;0,15;Butylki PET 0.3-0.45 l shirokoe gorlo;Butylki PET;2. Upakovka;pod zakaz;PLASTTORGSERVIS OOO
8291041;Butylka d/vody, 0.38l, krugl.s kryshkoy,shirokoe gorlo 38mm, prozrachn., PET;5,4;0,14;0,25;Butylki PET 0.3-0.45 l shirokoe gorlo;Butylki PET;2. Upakovka;pod zakaz;VIPET OOO
829010k;PET butylka 0.3l,kvadratnaya, prozrachn., shirokoe gorlo, kryshka otdelno;1,65;0,092;0,1;Butylki PET 0.3-0.45 l shirokoe gorlo;Butylki PET;2. Upakovka;;NOVATEK
829010;Pet-butylka 0.33 l, prozrachn.,38mm, krugl, shirokoe gorlo, kryshka otdelno;;0,095;0,17;Butylki PET 0.3-0.45 l shirokoe gorlo;Butylki PET;2. Upakovka;;NOVATEK
291036;PET butylka prozrachn., 0.30 l, h 138 mm, d 62,5 mm, s kryshkoy, shirokoe gorlo;2,09;0,072;0,1;Butylki PET 0.3-0.45 l shirokoe gorlo;Butylki PET;2. Upakovka;;VNEShTORGPLASTIK OOO
261053;Upakovka kvadrat vnesh. 152kh152kh72mm, vnutr.139kh139kh66mm, prozrachnaya, PET;6,4;0,073;0,3;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 150-159 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;KhOLDING PROTEK OOO
262156;Konteyner 0,86l, vneshn. 151kh155kh83mm, prozrachnaya, OPS,;6,6;0,08;0,41;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 150-159 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;snyat s prodazh;UNIPAK OOO
261057;Upakovka kvadratn., vnesh. 152kh152kh72mm, vnutr. 139kh139kh69mm, prozrachn., PET;6,9;0,08;0,42;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 150-159 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;dlya RF;KhOLDING PROTEK OOO
261388;Upakovka pryamoug., 161.8kh147.2kh49.24mm, s nerazyemnoy kryshkoy, prozrachn., vitrina, PET;9,5;0,097;0,4;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 160-199 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;UPAKS-YuNITI OOO
263012b;Upakovka 1(0.8+0.2)l, kvadratn., vnesh. 153kh152kh86mm, vnutr. 140kh140kh81mm, prozrachn., OPS;8,2;0,117;0,66;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 150-159 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;;TSK KOMUS OOO
263006;Upakovka 1(0.8+0.2)l, kvadratn., vnesh. 153kh152kh85mm, vnutr. 124kh124kh77mm, prozrachn., OPS;10;0,11;0,66;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 150-159 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;dlya RF;TSK KOMUS OOO
263010b;Upakovka 1(0.8+0.2)l, kvadratn., vnesh. 153kh152kh85mm, vnutr. 124kh124kh77mm, prozrachn., OPS;10;0,11;0,66;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 150-159 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;dlya RF;TSK KOMUS OOO
264451;Upakovka pryam. vnesh. 194x184x83mm, vnutr. 170kh150kh76mm, 0,8kg, prozrachnaya, OPS RK-27P;8;0,096;0,2;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 160-199 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;vremenno ne proizvoditsya;TSK KOMUS OOO
263008;Upakovka 1(0.8+0.2)l, kvadratn., vnesh. 153kh152kh73mm, vnutr. 127kh127kh65mm, prozrachn., OPS;5,28;0,134;0,66;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 150-159 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;TSK KOMUS OOO
264012;Upakovka d/vypechki, 1.78l, pryamoug., vnesh. 230kh129kh94mm, vnutr. 204kh100kh83mm, prozrachn., OPS;7,2;0,077;0,28;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 230-249 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;;TSK KOMUS OOO
260470;Upakovka 1.0kg, vnesh. 268kh214kh71mm, vnutr. 242kh178kh60mm, prozrachn., OPS;10;0,07;0,2;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy ot 250 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;TSK KOMUS OOO
264662;Upakovka 2.5l, kvadratn., vnesh. 218kh205kh84mm, vnutr. 180kh180kh80mm, prozrachn., OPS;6,5;0,09;0,16;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 200-219 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;TSK KOMUS OOO
263158;Upakovka d/vypechki, 1,55(1.25+0.3)l, pryamoug., vnesh. 218kh141kh64mm, vnutr. 192kh117kh60mm, prozrachn., OPS;7,97;0,104;0,4;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 200-219 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;;TSK KOMUS OOO
263152a;Upakovka d/vypechki, 1,55(1.25+0.3)l, pryamoug., vnesh. 219kh142kh64mm, vnutr. 206kh130kh60mm, prozrachn., OPS;9,24;0,104;0,4;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 200-219 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;;TSK KOMUS OOO
264599;Upakovka 2,5(1.8+0.7)l, vnesh. 265kh194kh67mm, vnutr. 252kh167kh60mm, prozrachn., OPS;5,7;0,072;0,16;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy ot 250 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;;TSK KOMUS OOO
264701;Upakovka 2.25l, pryamoug., vnesh. 311kh190kh57mm, vnutr. 276kh150kh49mm, prozrachn., OPS;10,5;0,092;0,18;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy ot 250 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;;TSK KOMUS OOO
263155;Upakovka pryam. vnesh. 211kh137kh67mm, vnutr. 184kh110kh62mm, 0,5kg, prozrachnaya, OPS;10;0,11;0,44;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 200-219 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;TSK KOMUS OOO
264181;Upakovka pryam. vnesh. 241x172x47mm, vnutr. 214kh151kh40mm, 0,5kg, prozrachnaya, OPS RK-30ND (M);8,4;0,12;0,35;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 230-249 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;TSK KOMUS OOO
260305;Upakovka 0.4 kg, vnesh. 145kh114kh66mm, vnutr. 132kh101kh61mm, prozrachn., OPS;7,2;0,114;0,6;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 135-149 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;TSK KOMUS OOO
826204m;Upakovka 1230ml, kvadratn., vnesh. 147kh155kh76mm, vnutr. 130kh130kh70mm, prozrachn.;8,3;0,14;0,6;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 135-149 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;INLAYN-R
261103a;Konteyner 115kh145kh70mm, prozrachn., OPS;6,2;0,08;0,414;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 135-149 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;UNIPAK OOO
261340v;Upakovka 0,7 l, vneshn. 144kh113kh54 mm, vnutr. 121kh90kh49mm, prozrachnaya, PET;13,31;0,1;0,88;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 135-149 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;dlya RF;KAShTAN SPB OOO
260304;Upakovka pryam. vneshn. 144kh114kh70mm, vnutr. 124kh94kh65mm, 0,4kg, prozrachn., OPS;7,2;0,114;0,6;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 135-149 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;TSK KOMUS OOO
261369;Upakovka d/khol., kvadratn., vnesh. 149kh149kh88,5mm, vnutr. 125kh125kh60mm, prozrachn., PET;8;0,12;0,6;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 135-149 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;UPAKS-YuNITI OOO
260605;Upakovka pryam. vnesh. 140kh110kh55mm, vnutr.120x90x50, prozrachnaya, OPS, IP�8;4,154;0,07;0,45;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 135-149 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;KhOLDING PROTEK OOO
260305a;Upakovka 0.4kg, pryamoug., vnesh. 145kh114kh66mm, vnutr. 132kh101kh61mm, prozrachn., OPS;;0,15;0,76;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 135-149 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;dlya RF;TSK KOMUS OOO
261210a;Upakovka 0,5(0.35+0.15)l, pryamoug., vnesh. 114kh145kh46mm, vnutr. 99kh130kh40mm, prozrachn., PET;11,7;0,146;0,8;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 135-149 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;ARKhIV;Plast-resurs OOO
826215m;Upakovka pryamoug., vnesh. 338kh170kh70mm, vnutr. 315kh142kh66mm, 2800ml,prozrachn.;7,54;0,1;0,2;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy ot 250 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;INLAYN-R
826208m;Upakovka 1500ml, pryamoug., vnesh. 140kh215kh64mm, vnutr. 125kh200kh50mm, prozrachn.;7,28;0,1;0,4;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 200-219 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;;INLAYN-R
264372t;Upakovka pryam. vnesh. 239kh139kh91mm, vnutr. 210kh108kh81mm, 0,8kg, prozrachnaya, OPS RK-38 (M) (T);7;0,095;0,22;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 230-249 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;TSK KOMUS OOO
218382;"Folga 29sm*100m ""Standartnaya"" (9 mkm), ekonom";6,1;0,015;12;Folga 29 (30) sm 9 mkm;Folga;4. Polietilenovaya upakovka;;METALLPEYPER-M OOO
218383;"Folga 29sm*100m ""Standartnaya"" (9 mkm), ekonom";4;0,015;16;Folga 29 (30) sm 9 mkm;Folga;4. Polietilenovaya upakovka;pod zakaz;METALLPEYPER-M OOO
218431;"Folga 29sm*100m ""Standartnaya"" (9 mkm)";3,5;0,015;14;Folga 29 (30) sm 9 mkm;Folga;4. Polietilenovaya upakovka;;METALLPEYPER-M OOO
218166;"Folga 29sm*10m ""Ekonom"" (9 mkm) v plenke";4;0,012;30;Folga 29 (30) sm 9 mkm;Folga;4. Polietilenovaya upakovka;;METALLPEYPER-M OOO
218273;"Folga 29sm*20m ""'Ekonom"" (9 mkm) v plenke";2,67;0,01;20;Folga 29 (30) sm 9 mkm;Folga;4. Polietilenovaya upakovka;pod zakaz;METALLPEYPER-M OOO
218116;"Folga 29sm*8m ""Ekonom"" (9mkm) v plenke";4;0,02;40;Folga 29 (30) sm 9 mkm;Folga;4. Polietilenovaya upakovka;;METALLPEYPER-M OOO
218116/;"Folga 29sm*8m ""Ekonom"" (9mkm) v plenke";4;0,02;40;Folga 29 (30) sm 9 mkm;Folga;4. Polietilenovaya upakovka;Marketpleys Wildberries;METALLPEYPER-M OOO
218381a;"Folga 29sm*100m ""Standartnaya"" (9 mkm), ekonom";7,28;0,015;16;Folga 29 (30) sm 9 mkm;Folga;4. Polietilenovaya upakovka;;METALLPEYPER-M OOO
218165;"Folga 29smkh10m ""EKONOM"" (9 mkm) v plenke";3,4;0,017;48;Folga 29 (30) sm 9 mkm;Folga;4. Polietilenovaya upakovka;snyat s proizvodstva;RUSAL - Sayanskaya folga OOO
261564;Upakovka kvadrat vnesh. 130kh130kh60mm, vnutr.105x105x55mm, prozrachnaya, OPS;7,8;0,133;0,45;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy do 135 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;snyat s prodazh;KhOLDING PROTEK OOO
261149;Upakovka d/vypechki, 0.25, kvadratn., vnesh. 121kh119kh60mm, vnutr. 97kh96kh52mm, prozrachn., OPS;7,1;0,086;0,6;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy do 135 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;;TSK KOMUS OOO
261372;Upakovka 0,64 (0.54+0.1)l, kvadratn., vnesh. 132kh131kh58mm, vnutr. 122kh116kh49mm, prozrachn., OPS;7,4;0,099;0,6;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy do 135 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;;TSK KOMUS OOO
261370;Upakovka kvadrat vnesh. 132kh131kh66mm, vnutr. 118x115x54mm, 0,35, prozrachnaya, (114910) OPS;7,4;0,096;0,55;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy do 135 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;;TSK KOMUS OOO
8261530a;Upakovka 0,735l, 88kh118kh62mm, prozrachn., OPS;3;0,062;0,34;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy do 135 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;ARKhIV;TSK KOMUS OOO
261374;Upakovka 0.35kg, vnesh. 131kh132kh58mm, vnutr. 102kh102kh49mm, prozrachn., OPS;5,82;0,09;0,7;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy do 135 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;dlya RF;TSK KOMUS OOO
261375;Upakovka 0.92l, vnesh. 132kh131kh78mm, vnutr. 122kh116kh69mm, prozrachn., OPS;5,82;0,09;0,7;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy do 135 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;dlya RF;TSK KOMUS OOO
262010;Upakovka kvadrat vnesh. 132kh131kh93mm, vnutr. 102x102x88mm, 0,35kg, prozrachnaya, (153418) OPS;7,4;0,098;0,5;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy do 135 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;TSK KOMUS OOO
825406;Konteyner RP-15  vnesh. D=213 mm, h=70 mm, vnut D=192 mm, h=70 mm, OPS;6;0,07;0,2;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy kruglaya;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;<>;SOYuZ TREYD OOO
218252/;"Folga 29smkh10m ""Osobo prochnaya"" (14 mkm) v plenke";3,86;0,025;35;Folga 29 (30) sm 10-14 mkm;Folga;4. Polietilenovaya upakovka;snyat s proizvodstva;RUSAL - Sayanskaya folga OOO
218335/;"Folga 44smkh10m ""Gril"" (20 mkm) v plenke";3,25;0,017;15;Folga 44 sm ot 15 mkm;Folga;4. Polietilenovaya upakovka;snyat s proizvodstva;RUSAL - Sayanskaya folga OOO
818167;"Folga 30smkh80m ""STANDARTNAYa"" (11mkm) v plenke";8,9;;12;Folga 29 (30) sm 10-14 mkm;Folga;4. Polietilenovaya upakovka;pod zakaz;PROMA OOO
818165a;"Folga 30smkh10m ""STANDARTNAYa"" (11 mkm) v plenke";4,8;0,03;36;Folga 29 (30) sm 10-14 mkm;Folga;4. Polietilenovaya upakovka;pod zakaz;PROMA OOO
218416;Folga Universalnaya 30smkh100m (11 mkm)  EXTRA pischevaya;6;0,01;8;Folga 29 (30) sm 10-14 mkm;Folga;4. Polietilenovaya upakovka;ARKhIV;ALT-PAK OOO
218236;"Folga 44smkh10m ""Gril"" (20 mkm) v plenke";5,9;0,015;18;Folga 44 sm ot 15 mkm;Folga;4. Polietilenovaya upakovka;vremenno ne postavlyaetsya;ALFOYL-2008 OOO
905254;Marker permanentnyy CC1118 chernyy 3-5mm.;6,6;0,02;960;Markery, flomastery, tekstovydeliteli;Pismennye prinadlezhnosti i korrektory;4. Polietilenovaya upakovka;snyat s prodazh;KOMUS OOO
905241;Marker permanent 1,5-3mm, Attache, chernyy;0,001;0,002;12;Markery, flomastery, tekstovydeliteli;Pismennye prinadlezhnosti i korrektory;4. Polietilenovaya upakovka;snyat s prodazh;KOMUS OOO
905257;Flomaster 6tsv.,CARIOCA JOY, 40613;1,368;0,005;24;Markery, flomastery, tekstovydeliteli;Pismennye prinadlezhnosti i korrektory;4. Polietilenovaya upakovka;Podarok pokupatelyu;KOMUS OOO
905031;Marker permanentnyy  3 mm chernyy;3,6;0,02;720;Markery, flomastery, tekstovydeliteli;Pismennye prinadlezhnosti i korrektory;4. Polietilenovaya upakovka;;"OFIS-SERVIS OOO  ""APEKS"""
905259;Flomaster 1 School Lisyata 6 tsv. podves;3,52;0,012;80;Markery, flomastery, tekstovydeliteli;Pismennye prinadlezhnosti i korrektory;4. Polietilenovaya upakovka;Podarok pokupatelyu;KOMUS OOO
852036;Marker perman.nestiraem.krugl.nak.3mm Chernyy;0,1;0,01;12;Markery, flomastery, tekstovydeliteli;Pismennye prinadlezhnosti i korrektory;3. Servirovka stola i tovary dlya klininga;dlya Mist.- Volgograd;OFISMAG-POVOLZhE OOO
852173zh;Tekstovydelitel 1-3 mm zheltyy;;;10;Markery, flomastery, tekstovydeliteli;Pismennye prinadlezhnosti i korrektory;3. Servirovka stola i tovary dlya klininga;dlya Mist.- Volgograd;OFISMAG-POVOLZhE OOO
8291000;Butylka 100 ml, prozrachnaya, PE;4;0,04;0,2;Butylki PET 0.25 l i menee shirokoe gorlo;Butylki PET;2. Upakovka;;TD POLIMIR OOO
291057;PET butylka, prozrachn., 1 l, h 281 mm,  s kryshkoy;2,57;0,121;0,07;Butylki PET 1.0-1.5 l uzkoe gorlo prozrachnye;Butylki PET;2. Upakovka;;VNEShTORGPLASTIK OOO
291059;PET butylka, prozrachn., 1.5 l s kryshkoy;2;0,12;0,05;Butylki PET 1.0-1.5 l uzkoe gorlo prozrachnye;Butylki PET;2. Upakovka;snyat s prodazh;NOVOPLAST GRUPP OOO
8298016;PET butylka prozrachn., 0,5 l s ChERNOY kryshkoy, shirokoe gorlo;3,5;0,1;0,1;Butylki PET 0.5-0.9 l shirokoe gorlo;Butylki PET;2. Upakovka;;VOZDUKh OOO
431099a/;Perchatki  lateksnye opudren. tonkie, razmer L;6,5;0,014;10;Perchatki lateksnye standartnoy prochnosti razmer L;Perchatki;3. Servirovka stola i tovary dlya klininga;pod zakaz;OPTITREYD OOO
431099z;Perchatki lateksnye neopudren. tonkie  razmer L;6,5;0,014;10;Perchatki lateksnye standartnoy prochnosti razmer L;Perchatki;3. Servirovka stola i tovary dlya klininga;pod zakaz;OPTITREYD OOO
430075f;Perchatki bez talka, razmer M, vinil prozrachnye;4,8;0,016;10;Perchatki vinilovye razmer M;Perchatki;3. Servirovka stola i tovary dlya klininga;pod zakaz;OPTITREYD OOO
431099z/;Perchatki lateksnye neopudren. tonkie  razmer L;8,6;0,02;10;Perchatki lateksnye standartnoy prochnosti razmer L;Perchatki;3. Servirovka stola i tovary dlya klininga;;OPTITREYD OOO
431099a;Perchatki  lateksnye opudren. tonkie, razmer L;4,2;0,015;10;Perchatki lateksnye standartnoy prochnosti razmer L;Perchatki;3. Servirovka stola i tovary dlya klininga;pod zakaz;OPTITREYD OOO
430091a;Perchatki vinilovye prozrachnye bez talka, razmer M;5,34;0,016;10;Perchatki vinilovye razmer M;Perchatki;3. Servirovka stola i tovary dlya klininga;COV2019;LyncMed Technology International Limited
430134m;"Perchatki odnoraz., PE, r-r M, osoboprochnye,""Misteriya""";4,5;0,015;100;Perchatki PE povyshennoy prochnosti razmer M;Perchatki;4. Polietilenovaya upakovka;;ELPI-TREYD OOO
430076o;Perchatki bez talka, razmer M, vinil prozrachnye;5;0,015;10;Perchatki vinilovye razmer M;Perchatki;3. Servirovka stola i tovary dlya klininga;;Zhangjiagang Yong Tong Import and Export Co.,ltd
430081b;Perchatki neopudrennye razmer M, vinil siniy;4,9;0,018;10;Perchatki vinilovye razmer M;Perchatki;3. Servirovka stola i tovary dlya klininga;COV2019;Zhangjiagang Yong Tong Import and Export Co.,ltd
905500;"Ruchka sharikovaya ""Attache"" 0,5mm, siniy";4;0,01;480;Ruchki sharikovye i gelevye;Pismennye prinadlezhnosti i korrektory;4. Polietilenovaya upakovka;snyat s prodazh;KOMUS OOO
905503;Ruchka sharikovaya BEIFA AA 927 0,5mm siniy;40;0,4;4000;Ruchki sharikovye i gelevye;Pismennye prinadlezhnosti i korrektory;4. Polietilenovaya upakovka;snyat s prodazh;KOMUS OOO
